doi,color_green_only,color,issn,journal,publisher,publication_date_unpaywall
10.1016/j.juro.2013.04.026,closed,closed,"0022-5347,1527-3792",Journal of Urology,Ovid Technologies (Wolters Kluwer Health),2013-09-01
10.1007/s00266-013-0113-5,closed,closed,"0364-216X,1432-5241",Aesthetic Plastic Surgery,Springer Science and Business Media LLC,2013-04-10
10.1093/ejcts/ezs296,bronze,bronze,"1873-734X,1010-7940",European Journal of Cardio-Thoracic Surgery,Oxford University Press (OUP),2012-05-31
10.1016/j.juro.2014.05.090,closed,closed,"0022-5347,1527-3792",Journal of Urology,Ovid Technologies (Wolters Kluwer Health),2014-11-01
10.1016/j.athoracsur.2014.06.061,closed,closed,0003-4975,The Annals of Thoracic Surgery,Elsevier BV,2014-11-01
10.3109/13685538.2013.879113,closed,closed,"1368-5538,1473-0790",The Aging Male,Informa UK Limited,2014-01-29
10.1001/jamainternmed.2014.1175,bronze,bronze,2168-6106,JAMA Internal Medicine,American Medical Association (AMA),2014-06-01
10.3389/fnins.2015.00049,gold,gold,1662-453X,Frontiers in Neuroscience,Frontiers Media SA,2015-02-19
10.1111/j.1365-2036.2011.04844.x,bronze,bronze,0269-2813,Alimentary Pharmacology &amp; Therapeutics,Wiley,2011-09-19
10.1080/08870446.2016.1185523,closed,closed,"0887-0446,1476-8321",Psychology &amp; Health,Informa UK Limited,2016-05-24
10.1249/mss.0000000000000158,closed,closed,0195-9131,Medicine &amp; Science in Sports &amp; Exercise,Ovid Technologies (Wolters Kluwer Health),2014-04-01
10.1111/eci.12559,closed,closed,0014-2972,European Journal of Clinical Investigation,Wiley,2015-11-27
10.1007/s10840-014-9915-x,closed,closed,"1383-875X,1572-8595",Journal of Interventional Cardiac Electrophysiology,Springer Science and Business Media LLC,2014-06-19
10.1155/2013/852454,gold,gold,0835-7900,Canadian Journal of Gastroenterology,Hindawi Limited,2013-01-01
10.1111/exd.12927,closed,closed,0906-6705,Experimental Dermatology,Wiley,2016-02-13
10.1002/jcph.624,closed,closed,0091-2700,The Journal of Clinical Pharmacology,Wiley,2015-10-20
10.1007/s00404-013-3134-z,closed,closed,"0932-0067,1432-0711",Archives of Gynecology and Obstetrics,Springer Science and Business Media LLC,2013-12-27
10.2340/00015555-2150,gold,gold,0001-5555,Acta Dermato Venereologica,Medical Journals Sweden AB,2016-01-01
10.1073/pnas.1208852109,bronze,green,"0027-8424,1091-6490",Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,2012-10-16
10.1007/s00586-014-3725-9,closed,closed,"0940-6719,1432-0932",European Spine Journal,Springer Science and Business Media LLC,2014-12-19
10.1055/s-0042-104647,bronze,bronze,"0172-4614,1438-8782",Ultraschall in der Medizin - European Journal of Ultrasound,Georg Thieme Verlag KG,2016-04-12
10.1097/sla.0000000000000253,closed,closed,0003-4932,Annals of Surgery,Ovid Technologies (Wolters Kluwer Health),2014-05-01
10.1159/000478744,hybrid,hybrid,"0025-7931,1423-0356",Respiration,S. Karger AG,2017-01-01
10.1155/2013/723168,gold,gold,"1687-6962,1687-6970",Anesthesiology Research and Practice,Hindawi Limited,2013-01-01
10.1109/jtehm.2013.2277870,gold,gold,2168-2372,IEEE Journal of Translational Engineering in Health and Medicine,Institute of Electrical and Electronics Engineers (IEEE),2013-01-01
10.1177/2047487313493227,closed,closed,"2047-4873,2047-4881",European Journal of Preventive Cardiology,Oxford University Press (OUP),2013-06-03
10.1111/j.1365-2222.2010.03521.x,closed,closed,"0954-7894,1365-2222",Clinical &amp; Experimental Allergy,Wiley,2010-04-13
10.1055/s-0033-1359149,closed,closed,"0013-726X,1438-8812",Endoscopy,Georg Thieme Verlag KG,2013-12-11
10.1371/journal.pone.0186720,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2017-10-26
10.1002/ejp.843,closed,closed,1090-3801,European Journal of Pain,Wiley,2016-02-23
10.1097/rli.0000000000000076,green,green,0020-9996,Investigative Radiology,Ovid Technologies (Wolters Kluwer Health),2014-11-01
10.1016/j.actaastro.2013.11.001,closed,closed,0094-5765,Acta Astronautica,Elsevier BV,2014-02-01
10.1007/s00384-016-2585-7,hybrid,hybrid,"0179-1958,1432-1262",International Journal of Colorectal Disease,Springer Science and Business Media LLC,2016-04-13
10.1007/s00787-013-0397-7,closed,closed,"1018-8827,1435-165X",European Child &amp; Adolescent Psychiatry,Springer Science and Business Media LLC,2013-03-06
10.1038/s41598-017-02384-x,gold,gold,2045-2322,Scientific Reports,Springer Science and Business Media LLC,2017-05-23
10.1038/srep18028,gold,gold,2045-2322,Scientific Reports,Springer Science and Business Media LLC,2015-12-15
10.1159/000431074,closed,closed,"1661-7800,1661-7819",Neonatology,S. Karger AG,2015-01-01
10.1007/s00059-015-4306-3,closed,closed,"0340-9937,1615-6692",Herz,Springer Science and Business Media LLC,2015-06-13
10.1007/s00134-013-3052-3,closed,closed,"0342-4642,1432-1238",Intensive Care Medicine,Springer Science and Business Media LLC,2013-08-07
10.1111/bcp.12522,green,green,0306-5251,British Journal of Clinical Pharmacology,Wiley,2015-02-20
10.1016/j.phymed.2014.05.006,hybrid,hybrid,0944-7113,Phytomedicine,Elsevier BV,2014-09-01
10.1159/000440726,green,green,"0033-3190,1423-0348",Psychotherapy and Psychosomatics,S. Karger AG,2015-11-27
10.3945/ajcn.114.105395,green,green,"0002-9165,1938-3207",The American Journal of Clinical Nutrition,Oxford University Press (OUP),2015-09-09
10.1016/j.juro.2013.03.097,closed,closed,"0022-5347,1527-3792",Journal of Urology,Ovid Technologies (Wolters Kluwer Health),2013-09-01
10.1200/jco.2016.34.15_suppl.10562,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2016-05-20
10.1155/2013/489856,gold,gold,"1741-427X,1741-4288",Evidence-Based Complementary and Alternative Medicine,Hindawi Limited,2013-01-01
10.1055/s-0042-119948,gold,gold,"2364-3722,2196-9736",Endoscopy International Open,Georg Thieme Verlag KG,2017-03-01
10.1016/j.jacc.2013.08.691,bronze,bronze,0735-1097,Journal of the American College of Cardiology,Elsevier BV,2014-04-01
10.1016/j.clnu.2017.02.021,closed,closed,0261-5614,Clinical Nutrition,Elsevier BV,2018-04-01
10.3109/15412555.2015.1136272,closed,closed,"1541-2555,1541-2563",COPD: Journal of Chronic Obstructive Pulmonary Disease,Informa UK Limited,2016-02-01
10.1016/j.hrthm.2014.12.035,hybrid,hybrid,1547-5271,Heart Rhythm,Elsevier BV,2015-04-01
10.1007/s00380-016-0897-8,green,green,"0910-8327,1615-2573",Heart and Vessels,Springer Science and Business Media LLC,2016-10-11
10.1016/j.brs.2016.08.013,closed,closed,1935-861X,Brain Stimulation,Elsevier BV,2017-01-01
10.1038/eye.2013.79,bronze,green,"0950-222X,1476-5454",Eye,Springer Science and Business Media LLC,2013-04-19
10.1213/ane.0000000000000160,closed,closed,0003-2999,Anesthesia &amp; Analgesia,Ovid Technologies (Wolters Kluwer Health),2014-05-01
10.1007/s00270-014-1012-0,hybrid,hybrid,"0174-1551,1432-086X",CardioVascular and Interventional Radiology,Springer Science and Business Media LLC,2014-11-07
10.1111/bcp.12664,bronze,green,0306-5251,British Journal of Clinical Pharmacology,Wiley,2015-07-14
10.1111/idh.12111,closed,closed,1601-5029,International Journal of Dental Hygiene,Wiley,2014-11-09
10.1053/j.jvca.2016.11.002,bronze,bronze,1053-0770,Journal of Cardiothoracic and Vascular Anesthesia,Elsevier BV,2017-04-01
10.1007/s00421-014-3045-0,hybrid,hybrid,"1439-6319,1439-6327",European Journal of Applied Physiology,Springer Science and Business Media LLC,2014-11-26
10.1007/s00417-017-3589-x,closed,closed,"0721-832X,1435-702X",Graefe's Archive for Clinical and Experimental Ophthalmology,Springer Science and Business Media LLC,2017-01-19
10.1016/j.euroneuro.2017.01.006,closed,closed,0924-977X,European Neuropsychopharmacology,Elsevier BV,2017-03-01
10.1159/000371795,green,green,"0012-2823,1421-9867",Digestion,S. Karger AG,2015-01-01
10.1167/iovs.16-19906,gold,gold,1552-5783,Investigative Opthalmology &amp; Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2017-01-18
10.1371/journal.pone.0169620,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2017-01-23
10.1016/j.jamda.2013.05.011,closed,closed,1525-8610,Journal of the American Medical Directors Association,Elsevier BV,2013-08-01
10.1038/pr.2016.270,hybrid,hybrid,"0031-3998,1530-0447",Pediatric Research,Springer Science and Business Media LLC,2016-12-21
10.1016/j.jclinane.2016.06.030,hybrid,hybrid,0952-8180,Journal of Clinical Anesthesia,Elsevier BV,2016-11-01
10.1371/journal.pone.0122578,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-04-02
10.1016/j.jhep.2016.05.023,closed,closed,0168-8278,Journal of Hepatology,Elsevier BV,2016-10-01
10.1002/cncr.29330,bronze,bronze,0008-543X,Cancer,Wiley,2015-03-04
10.1007/s00421-017-3554-8,closed,closed,"1439-6319,1439-6327",European Journal of Applied Physiology,Springer Science and Business Media LLC,2017-02-21
10.1111/apha.12730,closed,closed,1748-1708,Acta Physiologica,Wiley,2016-06-22
10.1016/j.invent.2016.04.001,gold,gold,2214-7829,Internet Interventions,Elsevier BV,2016-05-01
10.1002/da.22659,closed,closed,1091-4269,Depression and Anxiety,Wiley,2017-05-26
10.1038/npp.2014.78,bronze,green,"0893-133X,1740-634X",Neuropsychopharmacology,Springer Science and Business Media LLC,2014-04-02
10.1513/annalsats.201406-264oc,closed,closed,"2329-6933,2325-6621",Annals of the American Thoracic Society,American Thoracic Society,2014-12-01
10.1080/02640414.2014.975736,closed,closed,"0264-0414,1466-447X",Journal of Sports Sciences,Informa UK Limited,2014-11-05
10.1016/j.nut.2015.08.005,closed,closed,0899-9007,Nutrition,Elsevier BV,2016-02-01
10.1371/journal.pone.0120130,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-03-24
10.1016/j.drugalcdep.2016.04.015,closed,closed,0376-8716,Drug and Alcohol Dependence,Elsevier BV,2016-06-01
10.1111/bjd.13266,closed,closed,0007-0963,British Journal of Dermatology,Wiley,2015-01-19
10.1097/aln.0000000000001322,green,green,0003-3022,Anesthesiology,Ovid Technologies (Wolters Kluwer Health),2016-11-01
10.1016/j.jcms.2015.06.044,closed,closed,1010-5182,Journal of Cranio-Maxillofacial Surgery,Elsevier BV,2015-10-01
10.1097/ajp.0000000000000222,closed,closed,0749-8047,The Clinical Journal of Pain,Ovid Technologies (Wolters Kluwer Health),2016-01-01
10.3233/rnn-150518,closed,closed,"0922-6028,1878-3627",Restorative Neurology and Neuroscience,IOS Press,2016-03-21
10.3389/fnagi.2015.00152,gold,gold,1663-4365,Frontiers in Aging Neuroscience,Frontiers Media SA,2015-08-07
10.1080/02640414.2017.1346276,closed,closed,"0264-0414,1466-447X",Journal of Sports Sciences,Informa UK Limited,2017-06-28
10.1016/j.jams.2016.03.008,gold,gold,2005-2901,Journal of Acupuncture and Meridian Studies,Medical Association of Pharmacopuncture Institute,2016-08-01
10.1016/j.clnu.2015.07.004,closed,closed,0261-5614,Clinical Nutrition,Elsevier BV,2016-08-01
10.15557/jou.2016.0035,gold,gold,"2084-8404,2451-070X",Journal of Ultrasonography,Medical Communications Sp. z.o.o.,2016-12-30
10.1016/j.eujim.2016.06.015,closed,closed,1876-3820,European Journal of Integrative Medicine,Elsevier BV,2016-08-01
10.1097/eja.0000000000000106,closed,closed,0265-0215,European Journal of Anaesthesiology,Ovid Technologies (Wolters Kluwer Health),2014-09-01
10.1016/j.jad.2017.10.047,closed,closed,0165-0327,Journal of Affective Disorders,Elsevier BV,2018-02-01
10.1016/j.apmr.2016.11.013,closed,closed,0003-9993,Archives of Physical Medicine and Rehabilitation,Elsevier BV,2017-05-01
10.1002/jor.23215,closed,closed,0736-0266,Journal of Orthopaedic Research,Wiley,2016-03-09
10.1159/000479892,closed,closed,"0008-6568,1421-976X",Caries Research,S. Karger AG,2017-01-01
10.1097/md.0000000000003720,gold,gold,0025-7974,Medicine,Ovid Technologies (Wolters Kluwer Health),2016-05-01
10.1159/000454872,bronze,bronze,"2504-2092,2504-2106",Complementary Medicine Research,S. Karger AG,2017-01-01
10.1371/journal.pone.0169624,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2017-01-13
10.3390/ijms17101667,gold,gold,1422-0067,International Journal of Molecular Sciences,MDPI AG,2016-09-30
10.1177/1545968316662707,bronze,bronze,"1545-9683,1552-6844",Neurorehabilitation and Neural Repair,SAGE Publications,2016-08-20
10.1371/journal.pone.0168338,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2016-12-29
10.1302/0301-620x.99b10.bjj-2016-1292.r2,closed,closed,"2049-4394,2049-4408",The Bone &amp; Joint Journal,British Editorial Society of Bone & Joint Surgery,2017-10-01
10.1016/j.jcm.2015.02.003,green,green,1556-3707,Journal of Chiropractic Medicine,Elsevier BV,2015-03-01
10.1016/s0140-6736(11)60237-7,closed,closed,0140-6736,The Lancet,Elsevier BV,2011-04-01
10.1136/bmjopen-2011-000096,gold,gold,2044-6055,BMJ Open,BMJ,2011-08-09
10.1055/s-0034-1370984,closed,closed,"0034-3536,1439-1309",Die Rehabilitation,Georg Thieme Verlag KG,2014-10-15
10.1016/j.clinthera.2012.06.023,closed,closed,0149-2918,Clinical Therapeutics,Elsevier BV,2012-08-01
10.3928/1081597x-20090917-06,closed,closed,1081-597X,Journal of Refractive Surgery,"SLACK, Inc.",2009-01-01
10.1016/j.brat.2011.12.003,closed,closed,0005-7967,Behaviour Research and Therapy,Elsevier BV,2012-03-01
10.1002/lary.25052,closed,closed,0023-852X,The Laryngoscope,Wiley,2014-11-25
10.1016/j.jcrs.2010.06.060,closed,closed,0886-3350,Journal of Cataract and Refractive Surgery,Ovid Technologies (Wolters Kluwer Health),2010-11-01
10.1016/j.pec.2011.08.014,closed,closed,0738-3991,Patient Education and Counseling,Elsevier BV,2012-05-01
10.1177/0148607114528980,closed,closed,"0148-6071,1941-2444",Journal of Parenteral and Enteral Nutrition,Wiley,2014-04-03
10.1186/1471-2296-14-135,gold,gold,1471-2296,BMC Family Practice,Springer Science and Business Media LLC,2013-09-11
10.3238/arztebl.2011.0653,green,green,1866-0452,Deutsches Aerzteblatt Online,Deutscher Arzte-Verlag GmbH,2011-09-30
10.1136/bmjqs-2013-001899,closed,closed,"2044-5415,2044-5423",BMJ Quality &amp; Safety,BMJ,2013-08-16
10.1542/peds.2013-1834,closed,closed,"0031-4005,1098-4275",Pediatrics,American Academy of Pediatrics (AAP),2014-02-01
10.1164/rccm.200909-1451oc,closed,closed,"1073-449X,1535-4970",American Journal of Respiratory and Critical Care Medicine,American Thoracic Society,2010-08-15
10.1038/ejcn.2011.53,closed,closed,"0954-3007,1476-5640",European Journal of Clinical Nutrition,Springer Science and Business Media LLC,2011-05-04
10.1177/070674371305800604,bronze,green,"0706-7437,1497-0015",The Canadian Journal of Psychiatry,SAGE Publications,2013-06-01
10.1016/j.pain.2013.09.015,closed,closed,0304-3959,Pain,Ovid Technologies (Wolters Kluwer Health),2014-01-01
10.4187/respcare.02596,bronze,bronze,"0020-1324,1943-3654",Respiratory Care,Daedalus Enterprises,2013-06-25
10.4187/respcare.02941,bronze,bronze,"0020-1324,1943-3654",Respiratory Care,Daedalus Enterprises,2014-07-29
10.1016/j.neuroimage.2015.05.065,closed,closed,1053-8119,NeuroImage,Elsevier BV,2015-09-01
10.1111/bcp.12079,green,green,0306-5251,British Journal of Clinical Pharmacology,Wiley,2013-10-21
10.1159/000357437,closed,closed,"1423-0348,0033-3190",Psychotherapy and Psychosomatics,S. Karger AG,2014-01-01
10.1371/journal.pone.0067235,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2013-06-24
10.3325/cmj.2010.51.493,gold,gold,"0353-9504,1332-8166",Croatian Medical Journal,Croatian Medical Journals,2010-12-01
10.3109/15412555.2013.829437,closed,closed,"1541-2555,1541-2563",COPD: Journal of Chronic Obstructive Pulmonary Disease,Informa UK Limited,2013-10-10
10.1007/s00784-015-1475-7,closed,closed,"1432-6981,1436-3771",Clinical Oral Investigations,Springer Science and Business Media LLC,2015-04-22
10.3238/arztebl.2014.0592,green,green,1866-0452,Deutsches Ärzteblatt international,Deutscher Arzte-Verlag GmbH,2014-09-01
10.1007/s00520-014-2193-4,closed,closed,"0941-4355,1433-7339",Supportive Care in Cancer,Springer Science and Business Media LLC,2014-03-18
10.1159/000369468,closed,closed,"0033-3190,1423-0348",Psychotherapy and Psychosomatics,S. Karger AG,2015-02-21
10.1161/circulationaha.112.096370,bronze,bronze,"0009-7322,1524-4539",Circulation,Ovid Technologies (Wolters Kluwer Health),2012-07-17
10.1016/j.ctim.2012.11.003,closed,closed,0965-2299,Complementary Therapies in Medicine,Elsevier BV,2013-02-01
10.3109/15412555.2012.734872,closed,closed,"1541-2555,1541-2563",COPD: Journal of Chronic Obstructive Pulmonary Disease,Informa UK Limited,2013-03-21
10.1111/pan.12137,closed,closed,1155-5645,Pediatric Anesthesia,Wiley,2013-03-18
10.1371/journal.pone.0023099,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2011-08-26
10.1016/j.janxdis.2015.10.007,closed,closed,0887-6185,Journal of Anxiety Disorders,Elsevier BV,2016-01-01
10.1371/journal.pone.0041758,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2012-07-27
10.1097/sla.0000000000001240,green,green,0003-4932,Annals of Surgery,Ovid Technologies (Wolters Kluwer Health),2016-03-01
10.1007/s00701-016-2738-z,closed,closed,"0001-6268,0942-0940",Acta Neurochirurgica,Springer Science and Business Media LLC,2016-02-16
10.1111/epi.12515,closed,closed,0013-9580,Epilepsia,Wiley,2014-01-13
10.1016/j.pec.2011.05.028,closed,closed,0738-3991,Patient Education and Counseling,Elsevier BV,2012-03-01
10.1186/cc13089,gold,gold,1364-8535,Critical Care,Springer Science and Business Media LLC,2013-01-01
10.3402/fnr.v60.30298,gold,gold,"1654-6628,1654-661X",Food & Nutrition Research,SNF Swedish Nutrition Foundation,2016-01-01
10.1007/s00063-013-0269-4,closed,closed,"2193-6218,2193-6226",Medizinische Klinik - Intensivmedizin und Notfallmedizin,Springer Science and Business Media LLC,2013-07-13
10.1093/bja/aes314,bronze,bronze,0007-0912,British Journal of Anaesthesia,Elsevier BV,2012-12-01
10.1186/1471-2253-14-2,gold,gold,1471-2253,BMC Anesthesiology,Springer Science and Business Media LLC,2014-01-04
10.1186/1471-2474-13-141,gold,gold,1471-2474,BMC Musculoskeletal Disorders,Springer Science and Business Media LLC,2012-08-08
10.1080/15289168.2015.1014991,closed,closed,"1528-9168,1940-9214","Journal of Infant, Child, and Adolescent Psychotherapy",Informa UK Limited,2015-04-03
10.1371/journal.pone.0037072,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2012-05-21
10.1097/psy.0b013e31826ae4ae,closed,closed,0033-3174,Psychosomatic Medicine,Ovid Technologies (Wolters Kluwer Health),2012-10-01
10.1007/s00408-013-9542-9,closed,closed,"0341-2040,1432-1750",Lung,Springer Science and Business Media LLC,2013-12-13
10.1371/journal.pone.0031603,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2012-05-29
10.1007/s00464-015-4163-4,closed,closed,"0930-2794,1432-2218",Surgical Endoscopy,Springer Science and Business Media LLC,2015-03-24
10.1002/mnfr.201500125,closed,closed,1613-4125,Molecular Nutrition &amp; Food Research,Wiley,2015-06-05
10.1055/s-0032-1330443,bronze,bronze,"1438-9029,1438-9010",RöFo - Fortschritte auf dem Gebiet der Röntgenstrahlen und der bildgebenden Verfahren,Georg Thieme Verlag KG,2013-03-07
10.1159/000284358,closed,closed,"1663-2818,1663-2826",Hormone Research in Paediatrics,S. Karger AG,2010-01-01
10.3324/haematol.2013.098103,gold,gold,"0390-6078,1592-8721",Haematologica,Ferrata Storti Foundation (Haematologica),2014-03-28
10.1186/1471-2431-12-152,gold,gold,1471-2431,BMC Pediatrics,Springer Science and Business Media LLC,2012-09-20
10.1093/annonc/mdt568,bronze,bronze,0923-7534,Annals of Oncology,Elsevier BV,2014-02-01
10.1017/s1461145713000540,bronze,bronze,"1469-5111,1461-1457",International Journal of Neuropsychopharmacology,Oxford University Press (OUP),2013-10-01
10.1136/gut.2009.187989,bronze,green,0017-5749,Gut,BMJ,2010-03-01
10.3238/arztebl.2015.0035,green,green,1866-0452,Deutsches Aerzteblatt Online,Deutscher Arzte-Verlag GmbH,2015-01-16
10.1007/s00520-015-2843-1,closed,closed,"0941-4355,1433-7339",Supportive Care in Cancer,Springer Science and Business Media LLC,2015-07-21
10.1371/journal.pone.0030964,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2012-02-03
10.1021/ac902616k,closed,closed,"0003-2700,1520-6882",Analytical Chemistry,American Chemical Society (ACS),2010-01-14
10.1007/s00345-013-1126-z,closed,closed,"0724-4983,1433-8726",World Journal of Urology,Springer Science and Business Media LLC,2013-07-03
10.1371/journal.pone.0151316,gold,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2016-03-18
10.1371/journal.pone.0084402,gold,gold,1932-6203,PLoS ONE,Public Library of Science (PLoS),2014-01-09
10.1177/0269215515600206,closed,closed,"0269-2155,1477-0873",Clinical Rehabilitation,SAGE Publications,2015-08-27
10.1016/s0140-6736(13)62411-3,closed,closed,0140-6736,The Lancet,Elsevier BV,2014-04-01
10.1016/s0140-6736(14)61213-7,closed,closed,0140-6736,The Lancet,Elsevier BV,2015-04-01
10.1186/s13054-015-1159-3,gold,gold,1364-8535,Critical Care,Springer Science and Business Media LLC,2015-12-01
10.1016/s0140-6736(14)60238-5,closed,closed,0140-6736,The Lancet,Elsevier BV,2014-07-01
10.1007/s11325-015-1300-1,closed,closed,"1520-9512,1522-1709",Sleep and Breathing,Springer Science and Business Media LLC,2016-01-19
10.1186/s12885-017-3238-0,gold,gold,1471-2407,BMC Cancer,Springer Science and Business Media LLC,2017-04-13
10.1155/2014/476230,gold,gold,"2090-0708,2090-0716",Journal of Obesity,Hindawi Limited,2014-01-01
10.1378/chest.11-0253,closed,closed,0012-3692,Chest,Elsevier BV,2011-10-01
10.1097/eja.0000000000000313,closed,closed,0265-0215,European Journal of Anaesthesiology,Ovid Technologies (Wolters Kluwer Health),2016-01-01
10.1186/1471-2253-11-10,gold,gold,1471-2253,BMC Anesthesiology,Springer Science and Business Media LLC,2011-05-23
10.3233/thc-150898,closed,closed,"0928-7329,1878-7401",Technology and Health Care,IOS Press,2015-06-10
10.1186/1471-2253-12-18,gold,gold,1471-2253,BMC Anesthesiology,Springer Science and Business Media LLC,2012-08-07
10.1186/s12875-016-0409-z,gold,gold,1471-2296,BMC Family Practice,Springer Science and Business Media LLC,2016-01-28
10.1186/1129-2377-15-36,gold,gold,"1129-2369,1129-2377",The Journal of Headache and Pain,Springer Science and Business Media LLC,2014-06-10
10.1186/s12906-016-1241-7,gold,gold,1472-6882,BMC Complementary and Alternative Medicine,Springer Science and Business Media LLC,2016-07-27
10.1016/j.ejca.2010.07.033,closed,closed,0959-8049,European Journal of Cancer,Elsevier BV,2010-11-01
10.1186/1471-2253-15-3,gold,gold,1471-2253,BMC Anesthesiology,Springer Science and Business Media LLC,2015-01-18
10.2196/jmir.2497,gold,gold,1438-8871,Journal of Medical Internet Research,JMIR Publications Inc.,2013-08-20
10.1186/1745-6215-14-238,gold,gold,1745-6215,Trials,Springer Science and Business Media LLC,2013-01-01
10.1136/bmjopen-2015-010843,gold,gold,"2044-6055,2044-6055",BMJ Open,BMJ,2016-05-01
10.1186/1471-2253-14-66,gold,gold,1471-2253,BMC Anesthesiology,Springer Science and Business Media LLC,2014-08-07
10.1186/1745-6215-15-114,gold,gold,1745-6215,Trials,Springer Science and Business Media LLC,2014-04-09
10.1186/1471-2253-14-50,gold,gold,1471-2253,BMC Anesthesiology,Springer Science and Business Media LLC,2014-06-30
10.1159/000441731,closed,closed,"0033-3190,1423-0348",Psychotherapy and Psychosomatics,S. Karger AG,2016-01-01
10.1055/s-0034-1383653,closed,closed,"0300-8630,1439-3824",Klinische Pädiatrie,Georg Thieme Verlag KG,2014-08-25
10.1089/end.2011.0042,closed,closed,"0892-7790,1557-900X",Journal of Endourology,Mary Ann Liebert Inc,2011-10-01
10.1111/j.1464-410x.2010.09859.x,closed,closed,1464-4096,BJU International,Wiley,2010-11-24
10.1111/j.1399-5448.2011.00814.x,closed,closed,1399-543X,Pediatric Diabetes,Wiley,2011-09-20
10.4236/ojts.2012.23014,bronze,bronze,"2164-3059,2164-3067",Open Journal of Thoracic Surgery,"Scientific Research Publishing, Inc,",2012-01-01
10.1038/npp.2015.336,bronze,green,"0893-133X,1740-634X",Neuropsychopharmacology,Springer Science and Business Media LLC,2015-10-30
10.3171/2015.10.jns15926,green,green,"0022-3085,1933-0693",Journal of Neurosurgery,Journal of Neurosurgery Publishing Group (JNSPG),2016-11-01
10.1186/s12944-017-0495-5,gold,gold,1476-511X,Lipids in Health and Disease,Springer Science and Business Media LLC,2017-06-02
10.1111/j.1524-4725.2011.02146.x,closed,closed,1076-0512,Dermatologic Surgery,Ovid Technologies (Wolters Kluwer Health),2012-01-01
10.1016/j.ctim.2016.03.010,closed,closed,0965-2299,Complementary Therapies in Medicine,Elsevier BV,2016-06-01
10.1002/acr.20384,bronze,bronze,2151-464X,Arthritis Care &amp; Research,Wiley,2010-01-01
10.1136/archdischild-2011-300958,closed,closed,"0003-9888,1468-2044",Archives of Disease in Childhood,BMJ,2012-01-17
10.1080/00365521.2016.1246606,closed,closed,"0036-5521,1502-7708",Scandinavian Journal of Gastroenterology,Informa UK Limited,2016-10-31
10.1007/s11605-012-1940-4,closed,closed,"1091-255X,1873-4626",Journal of Gastrointestinal Surgery,Springer Science and Business Media LLC,2012-06-29
10.1002/hup.2534,hybrid,hybrid,"0885-6222,1099-1077",Human Psychopharmacology: Clinical and Experimental,Wiley,2016-05-01
10.1016/j.jpeds.2013.07.014,closed,closed,0022-3476,The Journal of Pediatrics,Elsevier BV,2013-12-01
10.1016/j.jpain.2012.08.004,closed,closed,1526-5900,The Journal of Pain,Elsevier BV,2012-11-01
10.1016/j.jpain.2014.10.009,closed,closed,1526-5900,The Journal of Pain,Elsevier BV,2015-01-01
10.3238/arztebl.2015.0672,green,green,1866-0452,Deutsches Ärzteblatt international,Deutscher Arzte-Verlag GmbH,2015-10-02
10.1017/s0007114515002950,hybrid,hybrid,"0007-1145,1475-2662",British Journal of Nutrition,Cambridge University Press (CUP),2015-09-02
10.1038/bjc.2013.826,hybrid,hybrid,"0007-0920,1532-1827",British Journal of Cancer,Springer Science and Business Media LLC,2014-01-16
10.1159/000371769,bronze,bronze,"0025-7931,1423-0356",Respiration,S. Karger AG,2015-01-01
10.1111/jocn.12467,closed,closed,0962-1067,Journal of Clinical Nursing,Wiley,2013-12-27
10.1007/s00417-013-2528-8,closed,closed,"0721-832X,1435-702X",Graefe's Archive for Clinical and Experimental Ophthalmology,Springer Science and Business Media LLC,2013-12-18
10.1159/000364946,bronze,bronze,"0025-7931,1423-0356",Respiration,S. Karger AG,2014-01-01
10.3238/arztebl.2015.0655,green,green,1866-0452,Deutsches Aerzteblatt Online,Deutscher Arzte-Verlag GmbH,2015-09-25
10.1055/s-0032-1327724,closed,closed,"0034-3536,1439-1309",Die Rehabilitation,Georg Thieme Verlag KG,2013-06-07
10.17796/1053-4628-40.4.328,closed,closed,"1053-4628,1557-5268",Journal of Clinical Pediatric Dentistry,MRE Press,2016-10-01
10.1111/jcpe.12183,closed,closed,0303-6979,Journal of Clinical Periodontology,Wiley,2013-11-13
10.1002/pon.3104,closed,closed,1057-9249,Psycho-Oncology,Wiley,2012-05-04
